,Checking Account,Savings Account,Sex,Property,Duration,Credit Amount,Age,Loan
86,2,1,0,2,18,1295,27,1
87,2,2,1,0,36,12612,47,0
88,1,2,1,3,18,2249,30,1
89,1,1,1,1,12,1108,28,0
90,0,1,1,1,12,618,56,1
91,1,1,1,1,12,1409,54,1
92,0,0,0,2,12,797,33,0
93,3,0,1,0,24,3617,20,1
94,2,4,1,1,12,1318,54,1
95,2,1,1,0,54,15945,58,0
96,0,0,0,3,12,2012,61,1
97,2,2,1,3,18,2622,34,1
98,2,1,1,1,36,2337,36,1
99,2,0,1,2,20,7057,36,1
100,0,2,1,1,24,1469,41,1
101,2,1,1,3,36,2323,24,1
102,0,1,0,1,6,932,24,1
103,2,1,1,3,9,1919,35,1
104,0,0,1,3,12,2445,26,1
105,2,1,1,3,24,11938,39,0
106,0,1,1,0,18,6458,39,0
107,2,1,1,3,12,6078,32,1
108,1,0,0,2,24,7721,30,1
109,2,3,1,1,14,1410,35,1
110,2,2,1,3,6,1449,31,1
111,3,1,0,2,15,392,23,1
112,2,1,1,1,18,6260,28,1
113,0,1,0,1,36,7855,25,0
114,1,3,1,1,12,1680,35,1
115,0,0,1,1,48,3578,47,1
116,1,0,0,3,42,7174,30,0
117,1,0,0,1,10,2132,27,1
118,1,3,0,3,33,4281,23,0
119,2,3,1,3,12,2366,36,1
120,1,1,0,1,21,1835,25,0
121,0,1,0,3,24,3868,41,1
122,0,1,1,1,12,1768,24,1
123,3,1,1,0,10,781,63,1
124,2,0,0,1,18,1924,27,0
125,1,1,1,2,12,2121,30,1
126,1,1,1,1,12,701,40,1
127,2,1,1,3,12,639,30,0
128,2,1,1,3,12,1860,34,1
129,1,1,0,1,12,3499,29,0
130,2,0,0,3,48,8487,24,1
131,1,1,1,2,36,6887,29,0
132,0,1,1,2,15,2708,27,1
133,0,1,1,0,18,1984,47,1
134,0,2,0,1,60,10144,21,1
135,0,0,0,1,12,1240,38,1
136,0,4,1,3,27,8613,27,1
137,2,3,1,1,12,766,66,0
138,2,0,1,1,15,2728,35,1
139,3,1,0,3,12,1881,44,1
140,3,4,1,1,6,709,27,1
141,2,1,0,0,36,4795,30,1
142,1,1,1,3,27,3416,27,1
143,1,1,1,3,18,2462,22,0
144,0,1,0,2,21,2288,23,1
145,2,2,1,3,48,3566,30,1
146,1,1,0,0,6,860,39,1
147,0,2,0,3,12,682,51,1
148,1,1,1,2,36,5371,28,1
149,0,4,1,3,18,1582,46,1
150,0,2,1,0,6,1346,42,1
151,0,1,1,2,10,1924,38,1
152,3,1,1,3,36,5848,24,1
153,2,4,0,0,24,7758,29,1
154,2,2,1,3,24,6967,36,1
155,1,1,0,3,12,1282,20,0
156,1,2,1,1,9,1288,48,1
157,1,1,1,3,12,339,45,1
158,2,2,1,3,24,3512,38,1
159,0,0,1,1,6,1898,34,1
160,0,2,1,1,24,2872,36,1
161,0,1,0,2,18,1055,30,1
162,0,3,1,2,15,1262,36,1
163,2,1,1,0,10,7308,70,1
164,0,3,1,2,36,909,36,1
165,0,3,1,3,6,2978,32,1
166,1,1,0,3,18,1131,33,0
167,2,4,0,1,11,1577,20,1
168,0,1,0,2,24,3972,25,1
169,2,1,1,1,24,1935,31,0
170,1,1,1,3,15,950,33,0
171,0,1,0,1,12,763,26,1
172,2,1,0,2,24,2064,34,0
173,2,1,1,1,8,1414,33,1
174,1,1,1,2,21,3414,26,0
175,0,0,0,1,30,7485,53,0
176,1,1,1,3,12,2577,42,1
177,1,3,1,3,6,338,52,1
178,0,1,1,3,12,1963,31,1
179,1,1,1,1,21,571,65,1
180,0,1,1,3,36,9572,28,0
181,2,1,1,1,36,4455,30,0
182,1,0,1,2,21,1647,40,0
183,0,4,1,1,24,3777,50,1
184,2,1,1,3,18,884,36,0
185,0,1,1,2,15,1360,31,1
186,2,1,0,0,9,5129,74,0
187,2,1,1,3,16,1175,68,1
188,1,2,1,2,12,674,20,0
189,2,1,0,3,18,3244,33,1
190,0,4,1,2,24,4591,54,0
191,2,2,1,0,48,3844,34,0
192,2,1,1,3,27,3915,36,0
193,0,1,1,1,6,2108,29,1
194,2,2,1,2,45,3031,21,0
195,2,1,0,3,9,1501,34,0
196,0,1,0,3,6,1382,28,1
197,2,2,0,3,12,951,27,0
198,2,0,1,0,24,2760,36,1
199,2,1,1,0,18,4297,40,0
200,0,3,1,3,9,936,52,1
201,1,1,1,1,12,1168,27,1
202,0,1,1,3,27,5117,26,1
203,1,1,1,2,12,902,21,0
204,0,1,1,1,12,1495,38,1
205,1,1,1,0,30,10623,38,1
206,0,1,1,1,12,1935,43,1
207,2,1,1,2,12,1424,26,1
208,1,1,1,3,24,6568,21,1
209,0,4,1,2,12,1413,55,1
210,0,0,1,1,9,3074,33,1
211,0,0,0,1,36,3835,45,1
212,1,1,1,2,27,5293,50,0
213,3,1,1,1,30,1908,66,0
214,0,0,1,3,36,3342,51,1
215,2,0,0,2,6,932,39,1
216,1,1,1,2,18,3104,31,1
217,3,1,1,1,36,3913,23,1
218,1,1,1,1,24,3021,24,1
219,0,1,0,3,10,1364,64,1
220,2,1,1,1,12,625,26,1
221,1,0,0,2,12,1200,23,1
222,0,1,1,1,12,707,30,1
223,0,0,1,1,24,2978,32,1
224,0,1,1,3,15,4657,30,1
225,0,1,1,3,36,2613,27,1
226,2,4,1,0,48,10961,27,0
227,1,1,1,0,12,7865,53,0
228,0,1,1,3,9,1478,22,0
229,1,1,1,0,24,3149,22,1
230,3,1,1,3,36,4210,26,0
231,0,3,1,0,9,2507,51,1
232,0,2,1,0,12,2141,35,1
233,2,1,1,1,18,866,25,1
234,0,1,1,1,4,1544,42,1
235,1,1,1,3,24,1823,30,0
236,2,0,1,2,6,14555,23,0
237,2,2,1,3,21,2767,61,0
238,0,1,0,2,12,1291,35,1
239,1,1,1,2,30,2522,39,1
240,1,0,0,3,24,915,29,0
241,0,1,1,2,6,1595,51,1
242,1,1,1,0,48,4605,24,0
243,0,1,0,1,12,1185,27,1
244,0,3,0,1,12,3447,35,1
245,0,1,1,1,24,1258,25,1
246,0,1,1,1,12,717,52,1
247,0,2,1,0,6,1204,35,1
248,3,1,1,1,24,1925,26,1
249,0,1,0,1,18,433,22,0
250,1,4,0,1,6,666,39,1
251,3,1,0,3,12,2251,46,1
252,2,1,0,0,30,2150,24,0
253,0,2,1,2,24,4151,35,1
254,2,0,1,3,9,2030,24,1
255,2,0,1,1,60,7418,27,1
256,0,1,1,1,24,2684,35,1
257,1,1,1,0,12,2149,29,0
258,0,2,0,3,15,3812,23,1
259,0,2,0,1,11,1154,57,1
260,1,1,1,1,12,1657,27,1
261,1,1,0,3,24,1603,55,1
262,1,1,1,0,18,5302,36,1
263,0,1,0,0,12,2748,57,1
264,0,1,1,1,10,1231,32,1
265,2,1,1,3,15,802,37,0
266,0,0,1,1,36,6304,36,1
267,0,1,0,3,24,1533,38,1
268,1,1,1,2,14,8978,45,0
269,0,0,1,3,24,999,25,1
270,0,0,1,2,18,2662,32,1
271,0,3,0,3,12,1402,37,1
272,2,0,1,0,48,12169,36,1
273,2,1,1,1,48,3060,28,0
274,1,1,1,0,30,11998,34,0
275,0,1,1,1,9,2697,32,1
276,0,1,0,3,18,2404,26,1
277,1,0,1,2,12,1262,49,1
278,0,1,0,2,6,4611,32,0
279,0,2,1,3,24,1901,29,1
280,0,4,1,0,15,3368,23,1
281,0,1,1,1,12,1574,50,1
282,3,0,1,3,18,1445,49,1
283,0,0,1,2,15,1520,63,1
284,2,2,1,3,24,3878,37,1
285,1,1,0,1,47,10722,35,1
286,1,1,1,2,48,4788,26,1
287,2,2,1,0,48,7582,31,1
288,2,1,0,1,12,1092,49,1
289,1,1,1,1,24,1024,48,0
290,0,1,1,1,12,1076,26,1
291,2,1,1,3,36,9398,28,0
292,1,1,0,0,24,6419,44,1
293,3,1,1,0,42,4796,56,1
294,0,0,1,3,48,7629,46,1
295,2,1,0,3,48,9960,26,0
296,0,0,0,3,12,4675,20,1
297,0,0,1,2,10,1287,45,1
298,0,1,1,1,18,2515,43,1
299,2,4,1,3,21,2745,32,1
300,0,1,0,1,6,672,54,1
301,2,1,0,3,36,3804,42,0
302,3,0,1,1,24,1344,37,0
303,1,1,1,2,10,1038,49,1
304,0,3,1,0,48,10127,44,0
305,0,4,1,1,6,1543,33,1
306,0,0,0,2,30,4811,24,1
307,1,2,1,0,12,727,33,0
308,2,1,0,1,8,1237,24,0
309,2,1,1,1,9,276,22,1
310,2,0,1,0,48,5381,40,1
311,0,2,1,3,24,5511,25,1
312,3,1,0,3,24,3749,26,1
313,2,1,1,3,12,685,25,0
314,3,0,1,1,4,1494,29,1
315,1,1,1,3,36,2746,31,0
316,1,1,1,2,12,708,38,1
317,2,0,0,2,24,4351,48,1
318,0,1,1,3,12,701,32,1
319,1,1,0,2,15,3643,27,1
320,2,1,1,3,30,4249,28,0
321,1,1,1,2,24,1938,32,0
322,1,1,1,0,24,2910,34,1
323,1,4,1,3,18,2659,28,1
324,0,1,0,1,18,1028,36,1
325,1,1,1,1,8,3398,39,1
326,0,0,1,2,12,5801,49,1
327,0,4,0,3,24,1525,34,1
328,3,1,1,3,36,4473,31,1
329,2,1,1,3,6,1068,28,1
330,1,1,1,0,24,6615,75,1
331,0,2,0,1,18,1864,30,0
332,2,2,0,2,60,7408,24,0
333,0,2,0,3,48,11590,24,0
334,1,1,1,0,24,4110,23,0
335,1,1,1,1,6,3384,44,0
336,2,1,0,2,13,2101,23,1
337,1,0,0,3,15,1275,24,0
338,1,1,1,2,24,4169,28,1
339,2,1,1,3,10,1521,31,1
340,2,1,0,0,24,5743,24,1
341,1,1,0,3,21,3599,26,1
342,2,3,1,1,18,3213,25,1
343,2,1,1,1,18,4439,33,1
344,3,1,1,2,10,3949,37,1
345,0,1,0,3,15,1459,43,1
346,2,1,1,1,13,882,23,1
347,2,3,0,0,24,3758,23,1
348,0,2,1,1,6,1743,34,1
349,2,4,1,0,9,1136,32,0
350,0,1,0,1,9,1236,23,1
351,2,1,0,3,9,959,29,0
352,0,0,1,0,18,3229,38,1
353,1,1,1,2,12,6199,28,0
354,0,3,1,0,10,727,46,1
355,2,1,1,1,24,1246,23,0
356,0,0,1,1,12,2331,49,1
357,0,1,1,3,36,4463,26,0
358,0,1,1,1,12,776,28,1
359,1,1,0,1,30,2406,23,0
360,2,0,1,0,18,1239,61,1
361,3,0,1,3,12,3399,37,1
362,3,1,0,3,12,2247,36,1
363,0,1,1,2,6,1766,21,1
364,1,1,1,3,18,2473,25,0
365,0,1,1,3,12,1542,36,1
366,0,1,1,3,18,3850,27,1
367,1,1,0,3,18,3650,22,1
368,1,1,1,3,36,3446,42,0
369,2,1,0,1,18,3001,40,1
370,0,0,1,1,36,3079,36,1
371,0,1,1,3,18,6070,33,1
372,0,1,0,1,10,2146,23,1
373,0,0,1,0,60,13756,63,1
374,2,2,0,0,60,14782,60,0
375,1,1,0,3,48,7685,37,0
376,0,1,1,1,18,2320,34,1
377,0,0,1,0,7,846,36,1
378,2,1,1,0,36,14318,57,0
379,0,2,0,3,6,362,52,1
380,1,0,1,3,20,2212,39,1
381,2,1,0,0,18,12976,38,0
382,0,0,0,2,22,1283,25,1
383,3,1,1,1,12,1330,26,1
384,0,2,1,2,30,4272,26,1
385,0,1,0,3,18,2238,25,1
386,0,0,0,1,18,1126,21,1
387,2,1,1,2,18,7374,40,1
388,2,3,1,3,15,2326,27,1
389,0,1,0,3,9,1449,27,1
390,0,1,1,2,18,1820,30,1
391,2,4,0,1,12,983,19,1
392,1,1,1,0,36,3249,39,1
393,1,1,0,3,6,1957,31,1
394,0,1,1,3,9,2406,31,1
395,2,2,1,0,39,11760,32,1
396,1,1,0,0,12,2578,55,1
397,1,1,1,2,36,2348,46,1
398,2,1,1,1,12,1223,46,0
399,0,4,0,1,24,1516,43,1
400,0,1,1,1,18,1473,39,1
401,2,0,1,1,18,1887,28,1
402,0,1,1,3,24,8648,27,0
403,0,1,1,3,14,802,27,1
404,2,0,1,3,18,2899,43,1
405,2,1,1,2,24,2039,22,0
406,0,0,1,3,24,2197,43,1
407,1,1,1,1,15,1053,27,1
408,0,3,1,3,24,3235,26,1
409,3,3,1,1,12,939,28,0
410,2,1,0,3,24,1967,20,1
411,0,1,1,3,33,7253,35,1
412,0,1,1,3,12,2292,42,0
413,0,3,1,0,10,1597,40,1
414,1,0,0,2,24,1381,35,0
415,0,1,1,2,36,5842,35,1
416,1,1,1,1,12,2579,33,0
417,1,0,0,3,18,8471,23,1
418,0,3,0,3,21,2782,31,1
419,2,0,0,2,18,1042,33,0
420,0,4,0,3,15,3186,20,1
421,2,0,1,3,12,2028,30,1
422,2,1,1,1,12,958,47,1
423,0,2,1,1,21,1591,34,1
424,2,0,0,2,12,2762,25,0
425,2,1,1,3,18,2779,21,1
426,0,1,1,3,28,2743,29,1
427,0,4,1,1,18,1149,46,1
428,0,1,1,3,9,1313,20,1
429,1,1,0,0,18,1190,55,0
430,0,1,1,1,5,3448,74,1
431,2,1,1,3,24,11328,29,0
432,1,1,1,0,6,1872,36,1
433,0,1,1,1,24,2058,33,1
434,1,1,1,1,9,2136,25,1
435,2,0,1,1,12,1484,25,0
436,0,3,1,1,6,660,23,1
437,0,4,0,1,24,1287,37,1
438,1,1,1,3,42,3394,65,1
439,3,1,0,1,12,609,26,0
440,0,1,1,3,12,1884,39,1
441,1,1,0,2,12,1620,30,1
442,2,1,1,3,20,2629,29,1
443,0,1,1,3,12,719,41,0
444,2,1,0,3,48,5096,30,0
445,0,0,0,2,9,1244,41,1
446,1,1,0,3,36,1842,34,0
447,2,1,1,1,7,2576,35,1
448,3,0,0,1,12,1424,55,1
449,2,4,1,2,15,1512,61,0
450,0,0,1,3,36,11054,30,1
451,0,1,0,1,6,518,29,1
452,0,1,1,2,12,2759,34,1
453,0,1,1,3,24,2670,35,1
454,1,1,1,2,24,4817,31,0
455,0,1,0,0,24,2679,29,1
456,1,1,1,1,11,3905,36,1
457,1,1,1,0,12,3386,35,0
458,1,1,0,1,6,343,27,1
459,0,1,1,3,18,4594,32,1
460,1,1,1,2,36,3620,37,1
461,1,1,1,1,15,1721,36,1
462,2,1,0,1,12,3017,34,1
463,2,0,1,2,12,754,38,1
464,0,1,1,3,18,1950,34,1
465,1,1,1,0,24,2924,63,1
466,1,1,0,3,24,1659,29,0
467,0,0,1,3,48,7238,32,1
468,0,1,0,3,33,2764,26,1
469,0,1,1,3,24,4679,35,1
470,2,2,1,3,24,3092,22,0
471,1,1,0,2,6,448,23,0
472,1,1,1,3,9,654,28,0
473,0,0,1,2,6,1238,36,1
474,2,1,1,3,18,1245,33,0
475,1,1,0,2,18,3114,26,0
476,0,3,1,3,39,2569,24,1
477,3,1,1,3,24,5152,25,1
478,2,2,1,1,12,1037,39,1
479,1,1,1,3,15,1478,44,1
480,2,1,0,1,12,3573,23,1
481,2,1,1,2,24,1201,26,1
482,1,4,0,2,30,3622,57,1
483,0,4,0,2,15,960,30,1
484,0,3,1,1,12,1163,44,1
485,2,1,1,2,6,1209,47,0
486,0,1,1,3,12,3077,52,1
487,0,1,0,0,24,3757,62,1
488,0,2,1,1,10,1418,35,1
489,0,1,1,2,6,3518,26,1
490,0,1,1,0,12,1934,26,1
491,2,1,0,0,27,8318,42,0
492,0,2,0,2,6,1237,27,1
493,2,0,1,2,6,368,38,1
494,1,1,1,1,12,2122,39,1
495,1,0,1,3,24,2996,20,0
496,2,2,1,0,36,9034,29,0
497,0,1,1,2,24,1585,40,1
498,2,1,1,1,18,1301,32,1
499,3,2,1,3,6,1323,28,1
500,1,1,0,2,24,3123,27,0
501,1,1,1,0,36,5493,42,1
502,3,2,1,1,9,1126,49,1
503,2,2,1,0,24,1216,38,0
504,1,1,0,2,24,1207,24,0
505,0,0,1,2,10,1309,27,0
506,3,3,1,3,15,2360,36,1
507,2,2,1,2,15,6850,34,0
508,0,1,1,2,24,1413,28,1
509,0,2,1,3,39,8588,45,1
510,1,1,1,1,12,759,26,0
511,0,1,1,0,36,4686,32,1
512,3,1,1,2,15,2687,26,1
513,2,1,1,1,12,585,20,1
514,0,0,1,2,24,2255,54,1
515,1,1,0,2,6,609,37,1
516,1,1,1,1,6,1361,40,1
517,0,1,0,2,36,7127,23,0
518,1,2,1,2,6,1203,43,1
519,0,0,1,0,6,700,36,1
520,0,1,1,0,24,5507,44,1
521,1,1,0,1,18,3190,24,0
522,1,1,1,0,48,7119,53,0
523,0,2,0,3,24,3488,23,1
524,2,1,0,1,18,1113,26,1
525,2,1,1,3,26,7966,30,1
526,0,2,0,3,15,1532,31,1
527,0,1,1,1,4,1503,42,1
528,1,1,1,3,36,2302,31,0
529,1,1,1,1,6,662,41,1
530,2,1,1,3,36,2273,32,1
531,2,2,0,3,15,2631,28,0
532,0,1,1,1,12,1503,41,1
533,0,2,1,2,24,1311,26,1
534,0,0,1,3,24,3105,25,1
535,3,1,1,3,21,2319,33,0
536,1,0,0,2,6,1374,75,1
537,2,1,0,2,18,3612,37,1
538,1,1,1,0,48,7763,42,0
539,3,1,0,2,18,3049,45,1
540,2,1,1,1,12,1534,23,0
541,0,1,1,0,24,2032,60,1
542,1,0,1,2,30,6350,31,0
543,3,1,1,1,18,2864,34,0
544,0,1,1,1,12,1255,61,1
545,1,1,1,1,24,1333,43,0
546,0,1,0,3,24,2022,37,1
547,0,1,1,3,24,1552,32,1
548,1,1,0,1,12,626,24,0
549,0,0,1,0,48,8858,35,1
550,0,0,0,1,12,996,23,1
551,0,3,1,2,6,1750,45,1
552,1,1,1,1,48,6999,34,0
553,2,2,1,3,12,1995,27,1
554,2,1,0,2,9,1199,67,1
555,2,1,1,3,12,1331,22,0
556,2,2,0,3,18,2278,28,0
557,0,0,0,2,21,5003,29,0
558,1,1,1,3,24,3552,27,0
559,2,1,1,1,18,1928,31,0
560,1,0,1,0,24,2964,49,1
561,1,1,1,3,24,1546,24,0
562,3,1,0,2,6,683,29,1
563,2,0,1,0,36,12389,37,0
564,2,0,1,2,24,4712,37,1
565,2,2,0,2,24,1553,23,1
566,1,1,1,3,12,1372,36,0
567,0,4,1,3,24,2578,34,1
568,2,0,1,3,48,3979,41,1
569,1,1,0,3,48,6758,31,0
570,1,1,0,1,24,3234,23,0
571,0,1,1,3,30,5954,38,1
572,0,0,0,2,24,5433,26,1
573,1,1,0,2,15,806,22,1
574,2,1,1,3,9,1082,27,1
575,0,1,0,3,15,2788,24,1
576,2,1,0,1,12,2930,27,1
577,0,0,0,3,24,1927,33,1
578,2,1,1,3,36,2820,27,0
579,0,1,1,3,24,937,27,1
580,2,1,1,1,18,1056,30,0
581,2,1,1,1,12,3124,49,1
582,0,1,0,1,9,1388,26,1
583,2,1,1,0,36,2384,33,0
584,0,0,0,0,12,2133,52,1
585,1,1,0,1,18,2039,20,0
586,1,1,1,1,9,2799,36,1
587,1,1,1,2,12,1289,21,1
588,1,1,1,1,18,1217,47,0
589,1,1,1,2,12,2246,60,0
590,1,1,0,1,12,385,58,1
591,2,0,0,3,24,1965,42,1
592,0,4,0,1,21,1572,36,1
593,2,1,0,2,24,2718,20,0
594,1,0,1,3,24,1358,40,0
595,2,2,0,2,6,931,32,0
596,1,1,0,3,24,1442,23,0
597,2,1,1,1,24,4241,36,0
598,0,1,1,2,18,2775,31,0
599,0,1,1,0,24,3863,32,1
600,2,1,0,1,7,2329,45,1
601,2,1,0,2,9,918,30,0
602,2,1,0,0,24,1837,34,0
603,0,1,0,3,36,3349,28,0
604,3,1,0,2,10,1275,23,1
605,1,3,1,1,24,2828,22,1
606,0,1,1,1,24,4526,74,1
607,2,2,0,0,36,2671,50,0
608,0,1,1,1,18,2051,33,1
609,0,0,1,0,15,1300,45,1
610,1,2,0,2,12,741,22,0
611,3,2,0,0,10,1240,48,0
612,1,4,0,3,21,3357,29,1
613,1,1,0,3,24,3632,22,1
614,0,1,0,1,18,1808,22,0
615,2,0,1,3,48,12204,48,1
616,2,0,1,0,60,9157,27,1
617,1,1,1,1,6,3676,37,1
618,2,2,0,3,30,3441,21,0
619,0,1,1,1,12,640,49,1
620,2,1,1,2,21,3652,27,1
621,0,1,1,2,18,1530,32,0
622,0,0,1,1,48,3914,38,0
623,1,1,0,3,12,1858,22,1
624,1,1,1,0,18,2600,65,0
625,0,0,1,3,15,1979,35,1
626,3,1,1,1,6,2116,41,1
627,2,2,1,0,9,1437,29,0
628,0,3,1,1,42,4042,36,1
629,0,0,1,1,9,3832,64,1
630,1,1,0,3,24,3660,28,1
631,1,1,1,3,18,1553,44,0
632,2,0,1,2,15,1444,23,1
633,0,1,0,3,9,1980,19,0
634,2,1,0,3,24,1355,25,0
635,0,1,1,2,12,1393,47,1
636,0,3,0,3,24,1376,28,1
637,0,1,1,3,60,15653,21,1
638,0,1,0,3,12,1493,34,1
639,1,1,1,2,42,4370,26,0
640,1,1,0,1,18,750,27,0
641,2,1,1,3,15,1308,38,1
642,0,2,1,2,15,4623,40,0
643,0,1,1,3,24,1851,33,1
644,1,1,1,2,18,1880,32,1
645,0,0,1,3,36,7980,27,0
646,1,1,1,1,30,4583,32,1
647,0,3,0,2,12,1386,26,0
648,3,1,1,0,24,947,38,0
649,1,1,1,3,12,684,40,0
650,1,1,1,0,48,7476,50,1
651,2,1,1,2,12,1922,37,0
652,1,1,1,1,24,2303,45,0
653,2,2,1,3,36,8086,42,0
654,0,1,1,3,24,2346,35,1
655,1,1,1,0,14,3973,22,1
656,2,1,1,3,12,888,41,0
657,0,0,1,3,48,10222,37,1
658,2,1,0,3,30,4221,28,1
659,2,1,1,0,18,6361,41,1
660,3,1,1,1,12,1297,23,1
661,1,0,1,3,12,900,23,0
662,0,1,1,1,21,2241,50,1
663,2,1,1,2,6,1050,35,1
664,3,1,0,2,6,1047,50,1
665,0,1,1,0,24,6314,27,1
666,2,4,1,3,30,3496,34,1
667,0,1,0,1,48,3609,27,1
668,1,1,1,2,12,4843,43,0
669,3,1,1,2,30,3017,47,1
670,0,2,1,2,24,4139,27,1
671,0,2,1,3,36,5742,31,1
672,0,1,1,2,60,10366,42,1
673,0,3,1,3,6,2080,24,1
674,0,3,1,1,21,2580,41,0
675,0,1,0,3,30,4530,26,1
676,0,1,1,3,24,5150,33,1
677,2,2,1,3,72,5595,24,0
678,1,1,1,1,24,2384,64,1
679,0,1,0,1,18,1453,26,1
680,0,1,0,0,6,1538,56,1
681,0,0,1,0,12,2279,37,1
682,0,1,1,1,15,1478,33,1
683,0,1,1,0,24,5103,47,1
684,2,2,1,2,36,9857,31,1
685,0,0,1,0,60,6527,34,1
686,3,0,1,2,10,1347,27,1
687,2,2,1,0,36,2862,30,1
688,0,2,1,3,9,2753,35,1
689,1,4,1,2,12,3651,31,1
690,1,1,1,2,15,975,25,1
691,2,2,0,1,15,2631,25,1
692,2,2,1,3,24,2896,29,1
693,1,0,1,1,6,4716,44,1
694,0,1,1,3,24,2284,28,1
695,0,3,1,2,6,1236,50,1
696,2,1,1,1,12,1103,29,1
697,0,1,0,2,12,926,38,1
698,0,1,1,3,18,1800,24,1
699,3,1,1,3,15,1905,40,1
700,0,3,0,3,12,1123,29,0
701,1,1,1,0,48,6331,46,0
702,3,2,0,0,24,1377,47,1
703,2,2,1,2,30,2503,41,1
704,2,1,0,2,27,2528,32,1
705,0,3,0,0,15,5324,35,1
706,2,2,1,2,48,6560,24,0
707,2,1,0,2,12,2969,25,0
708,2,1,0,1,9,1206,25,1
709,2,1,1,1,9,2118,37,1
710,0,3,1,2,18,629,32,1
711,1,1,0,0,6,1198,35,0
712,0,0,1,1,21,2476,46,1
713,1,1,1,1,9,1138,25,1
714,2,1,1,0,60,14027,27,0
715,0,0,1,3,30,7596,63,1
716,0,0,1,3,30,3077,40,1
717,0,1,1,0,18,1505,32,1
718,3,0,1,3,24,3148,31,1
719,2,2,1,3,20,6148,31,1
720,3,1,1,3,9,1337,34,0
721,2,4,0,2,6,433,24,0
722,1,1,0,1,12,1228,24,0
723,2,3,0,1,9,790,66,1
724,0,1,0,1,27,2570,21,0
725,0,4,0,1,6,250,41,1
726,0,3,1,2,15,1316,47,1
727,1,1,0,3,18,1882,25,0
728,2,1,0,0,48,6416,59,0
729,3,4,1,1,24,1275,36,1
730,2,1,1,3,24,6403,33,1
731,1,1,1,1,24,1987,21,0
732,2,1,0,1,8,760,44,1
733,0,4,0,3,24,2603,28,1
734,0,1,0,1,4,3380,37,1
735,2,0,0,0,36,3990,29,1
736,2,1,0,3,24,11560,23,0
